Time (CAT);Open;High;Low;Close;Volume 
21/12/2015 15:00:00;1.08622;1.08975;1.0858;1.08966;13416.16
21/12/2015 16:00:00;1.08966;1.09089;1.08832;1.08986;17477.05
21/12/2015 17:00:00;1.08978;1.09219;1.08967;1.09195;16537.74
21/12/2015 18:00:00;1.09197;1.09392;1.09116;1.09198;16864.09
21/12/2015 19:00:00;1.09199;1.09257;1.09078;1.09115;8859.5
21/12/2015 20:00:00;1.09117;1.09177;1.091;1.09104;5842.27
21/12/2015 21:00:00;1.09105;1.09298;1.09104;1.09258;5200.02
21/12/2015 22:00:00;1.09261;1.09289;1.09195;1.09207;4724.93
21/12/2015 23:00:00;1.09207;1.09242;1.09139;1.09154;3345.14
22/12/2015 00:00:00;1.09152;1.09163;1.09099;1.09099;2586.82
22/12/2015 01:00:00;1.09095;1.0914;1.09064;1.0911;4636.79
22/12/2015 02:00:00;1.09111;1.09142;1.09067;1.09069;4929.54
22/12/2015 03:00:00;1.0907;1.0919;1.09062;1.09187;5573.12
22/12/2015 04:00:00;1.09186;1.09214;1.09135;1.09192;5406.27
22/12/2015 05:00:00;1.09191;1.09232;1.09133;1.09176;4245.84
22/12/2015 06:00:00;1.09176;1.09227;1.09131;1.09208;3036.44
22/12/2015 07:00:00;1.09208;1.09217;1.09098;1.09099;4145.97
22/12/2015 08:00:00;1.09101;1.09183;1.09072;1.09159;3862.2
22/12/2015 09:00:00;1.09159;1.09213;1.09025;1.09211;8109.7
22/12/2015 10:00:00;1.09209;1.09229;1.09063;1.0919;11301.23
22/12/2015 11:00:00;1.0919;1.09441;1.09179;1.09354;10989.84
22/12/2015 12:00:00;1.09353;1.09377;1.09294;1.09312;9695.27
22/12/2015 13:00:00;1.09312;1.09468;1.09264;1.09437;7910.26
22/12/2015 14:00:00;1.09435;1.09478;1.09345;1.09416;9528.77
22/12/2015 15:00:00;1.09416;1.0961;1.09407;1.09563;13935.1
22/12/2015 16:00:00;1.09564;1.09704;1.09486;1.09666;15386.09
22/12/2015 17:00:00;1.09664;1.09843;1.09642;1.09671;15974.55
22/12/2015 18:00:00;1.09669;1.09791;1.09627;1.09777;13548.68
22/12/2015 19:00:00;1.09775;1.0982;1.09637;1.09708;8348.86
22/12/2015 20:00:00;1.09709;1.09709;1.09638;1.09681;4717.69
22/12/2015 21:00:00;1.09681;1.097;1.09469;1.09515;6751.26
22/12/2015 22:00:00;1.09515;1.09574;1.09505;1.09512;5600.3
22/12/2015 23:00:00;1.09511;1.09578;1.09505;1.09572;3292.76
23/12/2015 00:00:00;1.09573;1.0958;1.09506;1.09515;3229.88
23/12/2015 01:00:00;1.09513;1.09536;1.0946;1.0949;4425.91
23/12/2015 02:00:00;1.0949;1.0953;1.09487;1.09504;1764.24
23/12/2015 03:00:00;1.09503;1.09532;1.09413;1.09431;3600.61
23/12/2015 04:00:00;1.0943;1.09443;1.09331;1.09413;4640.22
23/12/2015 05:00:00;1.09414;1.09482;1.09382;1.09473;2606.66
23/12/2015 06:00:00;1.09472;1.09474;1.09361;1.09383;3394.86
23/12/2015 07:00:00;1.09382;1.09424;1.09379;1.09402;2240.68
23/12/2015 08:00:00;1.09402;1.09423;1.09348;1.09394;3021.82
23/12/2015 09:00:00;1.09394;1.09426;1.09293;1.09355;6524.2
23/12/2015 10:00:00;1.09356;1.09356;1.09148;1.0919;10098.51
23/12/2015 11:00:00;1.09191;1.09335;1.0917;1.09226;9968.65
23/12/2015 12:00:00;1.09227;1.09337;1.09204;1.09215;7879.18
23/12/2015 13:00:00;1.09216;1.09349;1.09214;1.09307;7622.96
23/12/2015 14:00:00;1.09305;1.09318;1.09195;1.09229;7776.33
23/12/2015 15:00:00;1.09229;1.09233;1.08998;1.09011;9819.8
23/12/2015 16:00:00;1.09007;1.09136;1.08937;1.09053;11491.64
23/12/2015 17:00:00;1.09053;1.09113;1.0879;1.08796;11143.91
23/12/2015 18:00:00;1.08797;1.08944;1.08729;1.08745;11826.77
23/12/2015 19:00:00;1.08746;1.08825;1.08701;1.08822;5838.83
23/12/2015 20:00:00;1.08822;1.09088;1.08799;1.09061;5855.11
23/12/2015 21:00:00;1.0906;1.09182;1.09025;1.09114;5180.11
23/12/2015 22:00:00;1.09112;1.09242;1.09064;1.09236;3376.21
23/12/2015 23:00:00;1.09236;1.09236;1.09081;1.09117;3602.65
24/12/2015 00:00:00;1.0912;1.09211;1.09046;1.09057;4121.54
24/12/2015 01:00:00;1.09058;1.0911;1.09054;1.09084;2912.07
24/12/2015 02:00:00;1.09084;1.09188;1.09084;1.09155;3188.62
